Timestamp,DISPATCH PRICE (5MIN /MWh),DEMAND (5MIN MW)
2020/09/04  10:05,$59.60,"4,998.85"
2020/09/04  10:10,$52.06,"7,696.18"
2020/09/04  10:15,$49.62,"4,958.62"
2020/09/04  10:20,$37.41,"4,891.94"
2020/09/04  10:25,$33.27,"4,858.62"
2020/09/04  10:33,$44.77,"7,616.26"
2020/09/04  10:40,$44.77,"4,792.25"
2020/09/04  10:46,$30.26,"4,697.87"
2020/09/04  10:51,$44.77,"4,725.99"
2020/09/04  10:56,$22.75,"4,694.45"
2020/09/04  11:01,$10.87,"4,603.66"
2020/09/04  11:06,$8.95,"4,489.23"
2020/09/04  11:11,$8.95,"4,452.42"
2020/09/04  11:17,$9.18,"4,530.52"
2020/09/04  11:22,$8.95,"4,528.59"
2020/09/04  11:27,-$9.15,"4,410.23"
2020/09/04  11:32,$17.23,"4,393.09"
2020/09/04  11:37,$21.74,"4,381.38"
2020/09/04  11:42,$9.19,"4,416.36"
2020/09/04  11:47
2020/09/04  11:53
2020/09/04  11:58,$31.12,"4,435.03"
2020/09/04  12:03,$16.10,"4,507.41"
2020/09/04  12:08,$9.19,"4,416.95"
2020/09/04  12:13,$5.34,"4,461.32"
2020/09/04  12:18,$9.19,"4,474.34"
2020/09/04  12:23,$0.18,"4,450.49"
2020/09/04  12:29,$0.16,"4,374.05"
2020/09/04  12:34,$0.42,"4,387.38"
2020/09/04  12:39,$39.74,"7,565.69"
2020/09/04  12:44,$2.89,"4,357.45"
2020/09/04  12:49,$6.69,"4,447.43"
2020/09/04  12:54,$6.35,"4,376.64"
2020/09/04  12:59,$8.95,"4,321.31"
2020/09/04  13:05,$38.67,"7,527.74"
2020/09/04  13:10,$9.19,"4,399.01"
2020/09/04  13:15,$6.17,"4,335.13"
2020/09/04  13:21
2020/09/04  13:26,$5.39,"4,339.07"
2020/09/04  13:31,$8.90,"4,376.60"
2020/09/04  13:36,$9.18,"4,428.85"
2020/09/04  13:41,$9.18,"4,458.07"
2020/09/04  13:46,$9.19,"4,487.71"
2020/09/04  13:51,$9.19,"4,536.72"
2020/09/04  13:57,$9.19,"4,522.61"
2020/09/04  14:02,$8.95,"4,457.96"
2020/09/04  14:07,$6.05,"4,444.55"
2020/09/04  14:12,$6.55,"4,478.48"
2020/09/04  14:17,$9.18,"4,501.48"
2020/09/04  14:22,$8.95,"4,460.78"
2020/09/04  14:28,$9.18,"4,440.11"
2020/09/04  14:33,$9.19,"4,402.22"
2020/09/04  14:38,$19.41,"4,404.16"
2020/09/04  14:43,$9.18,"4,376.94"
2020/09/04  14:48,$40.11,"7,619.94"
2020/09/04  14:53,-$0.92,"4,133.08"
2020/09/04  14:59,$9.19,"4,277.81"
2020/09/04  15:04,$9.19,"4,276.77"
2020/09/04  15:09,$13.50,"4,182.68"
2020/09/04  15:14,$46.06,"7,561.55"
2020/09/04  15:19
2020/09/04  15:20,$46.06,"7,561.55"
2020/09/07  14:08,$33.38,"6,575.25"
2020/09/07  14:13,$10.93,"3,538.59"
